SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2002-11-13 10:00:00	NA	WG 	00306511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-05-16 14:05:00	NA	WG 	00306512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-06-19 12:45:00	NA	WG 	00306513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-08-12 12:55:00	NA	WG 	00306514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2002-11-13 09:20:00	NA	WG 	00306515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-05-16 13:50:00	NA	WG 	00306516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-06-19 12:35:00	NA	WG 	00306517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-08-12 12:40:00	NA	WG 	00306518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2003-06-19 12:10:00	NA	WG 	00306523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2003-05-16 13:10:00	NA	WS 	00306528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2003-06-19 11:30:00	NA	WS 	00306529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2002-11-12 11:45:00	NA	WS 	00306530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-03-13 10:40:00	NA	WS 	00306531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-05-16 12:20:00	NA	WS 	00306532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-06-19 11:05:00	NA	WS 	00306533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-08-12 10:10:00	NA	WS 	00306534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2002-11-12 13:25:00	NA	WG 	00306535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2003-03-13 09:35:00	NA	WG 	00306536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2003-05-16 14:50:00	NA	WG 	00306537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2003-06-19 13:20:00	NA	WG 	00306538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2003-08-12 11:35:00	NA	WG 	00306539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2002-11-12 12:25:00	NA	WG 	00306540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2003-03-13 10:20:00	NA	WG 	00306541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2003-05-16 12:35:00	NA	WG 	00306542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2003-06-19 13:40:00	NA	WG 	00306543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2003-08-12 10:40:00	NA	WG 	00306544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2002-11-12 15:05:00	NA	WG 	00306553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2003-05-16 13:00:00	NA	WG 	00306554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2003-06-19 11:25:00	NA	WG 	00306555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2003-08-12 11:02:00	NA	WG 	00306556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2003-10-20 14:23:00	NA	WG 	00405810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2004-05-24 13:10:00	NA	WG 	00405811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2004-06-24 13:50:00	NA	WG 	00405812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2004-07-28 14:30:00	NA	WG 	00405813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2004-07-28 14:35:00	NA	WG 	00405814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2004-09-01 14:25:00	NA	WG 	00405815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2003-10-20 13:59:00	NA	WG 	00405816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2004-05-24 13:35:00	NA	WG 	00405817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2004-06-24 13:30:00	NA	WG 	00405818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2004-07-28 14:45:00	NA	WG 	00405819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2004-09-01 14:10:00	NA	WG 	00405820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2003-10-20 13:30:00	NA	WG 	00405822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2004-05-24 12:50:00	NA	WG 	00405823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2004-06-24 13:10:00	NA	WG 	00405824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2004-07-28 14:10:00	NA	WG 	00405825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2004-09-01 13:50:00	NA	WG 	00405826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2004-05-24 12:15:00	NA	WS 	00405827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2003-10-20 11:40:00	NA	WS 	00405828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2004-05-24 10:50:00	NA	WS 	00405829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2004-06-24 12:00:00	NA	WS 	00405830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2004-07-28 12:20:00	NA	WS 	00405831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2004-09-01 11:35:00	NA	WS 	00405832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2003-10-20 12:55:00	NA	WG 	00405833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2004-05-24 11:30:00	NA	WG 	00405835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2004-06-24 14:15:00	NA	WG 	00405836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2004-07-28 15:25:00	NA	WG 	00405837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2004-09-01 13:05:00	NA	WG 	00405838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2003-10-20 12:05:00	NA	WG 	00405839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2004-05-24 11:15:00	NA	WG 	00405840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2004-06-24 12:25:00	NA	WG 	00405841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2004-07-28 13:00:00	NA	WG 	00405842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2004-09-01 12:00:00	NA	WG 	00405843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2003-10-20 12:40:00	NA	WG 	00405859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2004-05-24 12:10:00	NA	WG 	00405860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2004-06-24 12:50:00	NA	WG 	00405861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2004-07-28 13:45:00	NA	WG 	00405862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2004-09-01 12:35:00	NA	WG 	00405863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2005-05-16 13:15:00	NA	WG 	00505828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2005-06-21 13:00:00	NA	WG 	00505829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2005-07-17 12:25:00	NA	WG 	00505830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2005-08-10 12:25:00	NA	WG 	00505831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2005-09-26 13:41:00	NA	WG 	00505832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2005-05-16 13:05:00	NA	WG 	00505833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2005-06-21 12:50:00	NA	WG 	00505834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2005-07-17 12:50:00	NA	WG 	00505835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2005-08-10 12:45:00	NA	WG 	00505836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2005-09-26 13:21:00	NA	WG 	00505837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2005-05-16 12:35:00	NA	WG 	00505838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2005-06-21 12:20:00	NA	WG 	00505839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2005-07-17 12:10:00	NA	WG 	00505840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2005-08-10 12:00:00	NA	WG 	00505841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2005-09-26 13:25:00	NA	WG 	00505842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2005-05-16 14:00:00	NA	WG 	00505843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2005-06-21 13:20:00	NA	WG 	00505844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2005-07-17 13:15:00	NA	WG 	00505845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2005-08-10 13:10:00	NA	WG 	00505846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2005-09-26 13:30:00	NA	WG 	00505847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2005-05-16 12:15:00	NA	WS 	00505848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2005-06-21 11:50:00	NA	WS 	00505849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-05-16 10:45:00	NA	WS 	00505850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-06-21 10:00:00	NA	WS 	00505851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-07-07 08:30:00	NA	WS 	00505852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-07-12 08:55:00	NA	WS 	00505853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-07-17 10:40:00	NA	WS 	00505854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-07-21 08:50:00	NA	WS 	00505855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-07-26 09:15:00	NA	WS 	00505856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-08-10 10:15:00	NA	WS 	00505857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-09-08 09:50:00	NA	WS 	00505858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2005-09-26 12:02:00	NA	WS 	00505859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-05-16 11:40:00	NA	WG 	00505860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-06-21 11:05:00	NA	WG 	00505861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-07-07 10:35:00	NA	WG 	00505862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-07-12 10:05:00	NA	WG 	00505863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-07-17 11:40:00	NA	WG 	00505864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-07-21 09:55:00	NA	WG 	00505865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-07-26 10:10:00	NA	WG 	00505866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-08-10 11:30:00	NA	WG 	00505867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-09-08 10:55:00	NA	WG 	00505868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2005-09-26 13:45:00	NA	WG 	00505869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2005-09-21 12:00:00	NA	WG 	00505870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-05-16 11:15:00	NA	WG 	00505871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-06-21 10:20:00	NA	WG 	00505872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-07-07 09:05:00	NA	WG 	00505873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-07-12 09:15:00	NA	WG 	00505874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-07-17 11:00:00	NA	WG 	00505875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-07-21 09:20:00	NA	WG 	00505876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-07-26 09:35:00	NA	WG 	00505877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-08-10 10:30:00	NA	WG 	00505878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-09-08 10:10:00	NA	WG 	00505879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2005-09-26 12:20:00	NA	WG 	00505880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2005-05-16 12:05:00	NA	WG 	00505896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2005-06-21 11:35:00	NA	WG 	00505897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2005-07-17 11:55:00	NA	WG 	00505898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2005-08-10 11:55:00	NA	WG 	00505899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2005-09-26 13:10:00	NA	WG 	00505900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	2006-07-16 12:45:00	NA	WG 	00603675	2.92106545	2.91848648	0.0441638336453679	Complete	2.57742	1.438118	0.00784238	0.11462781	0.02501724	1.1372478	0.0155246	0.19053	0.3332241	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2006-07-14 16:00:00	NA	WG 	00603676	0.5614566513	0.5477636	1.23447541495494	Complete	0.271728	0.263971	0.00851942	0.0004343753	0.02061748	0.1209663	0.001042496	0.154425	0.26751618	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	2006-06-07 14:30:00	NA	WS 	00603677	0.89850683	0.063936	86.7138082373163	Incomplete	0.063936	0.536924	NA	0.01443143	0.0335098	0.1925586	0.037128	0.083955	NA	Charge imbalance > 10%
